date,STATION,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,positive,negative,hospitalizedCurrently,death,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,Case rate per day in %,threat level
2020-04-26,USW00024227,6.49,0.23,0.0,0.0,51.0,63.0,38.0,200.0,240.0,16.1,23.0,14204,173876,508.0,738,188080,73,0,1586,106.0,1692.0,6.26,SAFE
2020-04-26,USW00094240,6.93,0.67,0.0,0.0,50.0,57.0,44.0,140.0,200.0,18.1,27.1,14204,173876,508.0,738,188080,73,0,1586,106.0,1692.0,6.26,SAFE
2020-04-26,USW00094119,7.16,0.0,0.0,0.0,51.0,62.0,31.0,240.0,220.0,19.9,28.0,14204,173876,508.0,738,188080,73,0,1586,106.0,1692.0,6.26,SAFE
2020-04-26,USW00024141,9.17,0.0,0.0,0.0,56.0,66.0,41.0,310.0,300.0,23.9,28.0,14204,173876,508.0,738,188080,73,0,1586,106.0,1692.0,6.26,SAFE
2020-04-26,USW00024233,7.16,0.12,0.0,0.0,53.0,62.0,45.0,260.0,270.0,13.0,17.0,14204,173876,508.0,738,188080,73,0,1586,106.0,1692.0,6.26,SAFE
2020-04-26,USW00024243,5.37,0.0,0.0,0.0,54.0,70.0,34.0,180.0,190.0,17.0,21.0,14204,173876,508.0,738,188080,73,0,1586,106.0,1692.0,6.26,SAFE
2020-04-26,USW00024157,10.51,0.0,0.0,0.0,52.0,61.0,39.0,220.0,210.0,21.0,25.1,14204,173876,508.0,738,188080,73,0,1586,106.0,1692.0,6.26,SAFE
2020-04-27,USW00024227,10.07,0.21,0.0,0.0,54.0,63.0,40.0,240.0,250.0,19.9,25.9,14557,180476,536.0,749,195033,11,0,6600,353.0,6953.0,5.08,SAFE
2020-04-27,USW00094240,8.05,0.07,0.0,0.0,49.0,55.0,40.0,240.0,250.0,19.9,25.1,14557,180476,536.0,749,195033,11,0,6600,353.0,6953.0,5.08,SAFE
2020-04-27,USW00094119,13.65,0.03,0.0,0.0,53.0,67.0,34.0,250.0,240.0,33.1,42.9,14557,180476,536.0,749,195033,11,0,6600,353.0,6953.0,5.08,SAFE
